NMS: 33333
CMTS: pl-crw01a-br06
Interfejsy: C1/0/0, C1/0/1, C1/0/2, C1/0/3, C1/0/4, C1/0/5, C1/0/6, C1/0/7, C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C3/0/0, C3/0/1, C3/0/2, C3/0/4, C3/0/5, C3/0/6, C3/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7, C7/0/0, C7/0/1, C7/0/2, C7/0/3, C7/0/4, C7/0/5, C7/0/6, C7/0/7
Data: 27.04.2026, 10:18:06

MAC               IP               Interfejs        Status  dBmV
e882.5b19.6d45    10.236.133.127   C1/0/0/UB        1       0.00
2ca1.7d90.8b9b    10.236.153.232   C1/0/0/U3        0       1860
a0c5.626d.100c    10.236.134.239   C1/0/0/UB        1       0.00
a0c5.6273.9b8c    10.236.154.103   C1/0/0/UB        1       0.00
5c7b.5c21.ffb9    10.219.251.62    C1/0/0/UB        1       0.00
342c.c4cf.fc0b    10.219.253.70    C1/0/0/UB        1       -0.50
5467.51d3.e6c7    10.219.236.105   C1/0/0/UB        1       !-2.50
e882.5ba5.09bd    10.236.136.46    C1/0/0/UB        1       0.00
8cc5.b4ea.82c5    10.236.144.92    C1/0/0/UB        1       0.00
ac22.05bf.c10f    10.236.131.156   C1/0/0/UB        1       -0.50
ac22.0533.c68e    10.236.141.20    C1/0/0/UB        1       !-1.00
f834.5a76.03b6    10.236.153.21    C1/0/0/UB        1       0.00
a0c5.626f.5074    10.236.141.250   C1/0/0/UB        1       0.00
7c26.34ca.ef86    10.236.131.209   C1/0/0/UB        1       !-2.00
2cec.f704.7a9c    10.236.143.48    C1/0/0/UB        1       0.00
30b7.d457.a920    10.245.31.16     C1/0/0/UB        1       0.00
acf8.ccaa.54ea    10.219.232.33    C1/0/0/UB        1       0.00
2cec.f704.9f5c    10.236.134.66    C1/0/0/UB        1       0.00
1834.afdc.1b5c    10.219.232.73    C1/0/0/UB        1       0.00
905c.44b6.bb59    10.236.140.17    C1/0/0/UB        1       -1.00
f820.d253.3987    10.219.229.6     C1/0/0/UB        1       0.00
b4f2.6738.b01f    10.236.133.130   C1/0/0/UB        1       0.50
905c.44e2.4aac    10.236.159.204   C1/0/0/UB        1       0.00
6802.b856.51aa    10.219.255.191   C1/0/0/UB        1       -1.00
5c7b.5c24.9359    10.236.150.125   C1/0/0/UB        1       0.00
ac22.05b8.cf29    10.219.237.53    C1/0/0/UB        1       0.00
2c1d.b8a4.2196    10.236.137.1     C1/0/0/UB        1       -1.00
b0f5.3071.3f0a    10.219.227.75    C1/0/0/UB        1       0.00
10e1.7752.7e17    10.219.253.45    C1/0/0/UB        1       0.00
2ca1.7d8b.fdb3    10.236.150.56    C1/0/0/UB        1       0.00
b49d.fdb8.ede6    10.236.149.181   C1/0/0/UB        1       0.00
2ca1.7d83.a923    10.236.138.33    C1/0/0/UB        1       !1.00
8cc5.b4ea.a746    10.236.154.169   C1/0/0/UB        1       0.00
20b8.2b13.bedc    10.219.249.127   C1/0/0/UB        1       0.00
0036.76ec.c9dc    10.219.246.123   C1/0/0/UB        1       -0.50
e882.5b1d.47dd    10.236.155.70    C1/0/0/UB        1       0.50
3843.7dd5.eb56    10.219.226.63    C1/0/0/UB        1       0.00
3843.7db4.2c33    10.219.228.5     C1/0/0/UB        1       0.50
