NMS: 1235321
CMTS: pl-gdn04a-br03
Interfejsy: C2/0/0, C2/0/1, C2/0/2, C2/0/3, C2/0/4, C2/0/5, C2/0/6, C2/0/7, C3/0/0, C3/0/1, C3/0/2, C3/0/3, C3/0/4, C3/0/5, C3/0/6, C3/0/7, C1/0/0, C1/0/1, C1/0/2, C1/0/3, C1/0/4, C1/0/5, C1/0/6, C1/0/7, C6/0/0, C6/0/1, C6/0/2, C6/0/3, C6/0/4, C6/0/5, C6/0/6, C6/0/7, C7/0/2, C7/0/3, C7/0/4, C7/0/5, C7/0/6, C7/0/7, C8/0/0, C8/0/1, C8/0/2, C8/0/3, C8/0/4, C8/0/5, C8/0/6, C8/0/7, C9/0/0, C9/0/1, C9/0/2, C9/0/3, C9/0/4, C9/0/5, C9/0/6, C9/0/7
Data: 23.04.2026, 16:10:43

MAC               IP               Interfejs        Status  dBmV
342c.c404.9929    10.233.17.122    C1/0/0/UB        1       -2.50
2ca1.7d06.877c    10.233.19.108    C1/0/0/UB        1       0.50
44aa.f56c.6a56    10.155.196.43    C1/0/0/UB        1       -0.50
b0b3.6979.c37b    10.155.203.81    C1/0/0/UB        1       0.50
44aa.f56d.594e    10.233.11.58     C1/0/0/UB        1       -0.50
905c.4439.89fe    10.233.6.189     C1/0/0/UB        1       0.50
2ca1.7d96.d88b    10.233.23.50     C1/0/0/UB        1       0.00
ac22.05f2.d9d4    10.233.5.64      C1/0/0/UB        1       -0.50
5467.511c.e482    10.233.10.160    C1/0/0/UB        1       0.00
2ca1.7d96.80cb    10.233.23.182    C1/0/0/UB        1       -0.50
1834.aff9.2c9f    10.233.23.155    C1/0/0/UB        1       0.00
5c7b.5cbf.e4fd    10.233.22.70     C1/0/0/UB        1       0.00
5c7b.5c37.db62    10.233.6.139     C1/0/0/UB        1       -0.50
2ca1.7d8a.402b    10.233.3.190     C1/0/0/UB        1       -0.50
ac22.050d.9cfa    10.233.29.5      C1/0/0/UB        1       0.50
a0c5.626d.973c    10.233.4.99      C1/0/0/UB        1       0.50
0036.760d.0c8f    10.233.12.45     C1/0/0/UB        1       0.50
